season,date,time,road_team_abbr,road_team,road_team_pts,home_team_abbr,home_team,home_team_pts,overtime_flg,game_attnd,playoff_gm
2000-01,2000-10-31,7:30p,CHA,Charlotte Hornets,106,ATL,Atlanta Hawks,82,,18465,0
2000-01,2000-10-31,8:30p,SAC,Sacramento Kings,100,CHI,Chicago Bulls,81,,21814,0
2000-01,2000-10-31,8:00p,MIL,Milwaukee Bucks,93,DAL,Dallas Mavericks,97,,16600,0
2000-01,2000-10-31,10:30p,PHX,Phoenix Suns,94,GSW,Golden State Warriors,96,,15460,0
2000-01,2000-10-31,8:30p,MIN,Minnesota Timberwolves,106,HOU,Houston Rockets,98,,11327,0
2000-01,2000-10-31,7:30p,CLE,Cleveland Cavaliers,86,NJN,New Jersey Nets,82,,14505,0
2000-01,2000-10-31,8:00p,PHI,Philadelphia 76ers,101,NYK,New York Knicks,72,,19763,0
2000-01,2000-10-31,7:30p,WAS,Washington Wizards,86,ORL,Orlando Magic,97,,13349,0
2000-01,2000-10-31,10:30p,LAL,Los Angeles Lakers,96,POR,Portland Trail Blazers,86,,20270,0
2000-01,2000-10-31,8:30p,IND,Indiana Pacers,85,SAS,San Antonio Spurs,98,,17450,0
2000-01,2000-10-31,8:00p,DET,Detroit Pistons,104,TOR,Toronto Raptors,95,,19800,0
2000-01,2000-10-31,9:00p,LAC,Los Angeles Clippers,94,UTA,Utah Jazz,107,,17824,0
2000-01,2000-10-31,10:30p,SEA,Seattle SuperSonics,88,VAN,Vancouver Grizzlies,94,,15779,0
2000-01,2000-11-01,7:00p,DET,Detroit Pistons,83,BOS,Boston Celtics,103,,17725,0
2000-01,2000-11-01,7:00p,TOR,Toronto Raptors,98,PHI,Philadelphia 76ers,104,,19817,0
2000-01,2000-11-01,7:30p,WAS,Washington Wizards,95,CHA,Charlotte Hornets,77,,16043,0
2000-01,2000-11-01,7:30p,SAC,Sacramento Kings,100,CLE,Cleveland Cavaliers,102,2OT,17695,0
2000-01,2000-11-01,10:30p,UTA,Utah Jazz,97,LAL,Los Angeles Lakers,92,,18997,0
2000-01,2000-11-01,8:00p,ORL,Orlando Magic,79,MIA,Miami Heat,105,,16500,0
2000-01,2000-11-01,10:00p,DEN,Denver Nuggets,99,SEA,Seattle SuperSonics,112,,17072,0
2000-01,2000-11-02,8:30p,MIL,Milwaukee Bucks,93,HOU,Houston Rockets,115,,10687,0
2000-01,2000-11-02,8:00p,MIN,Minnesota Timberwolves,91,SAS,San Antonio Spurs,103,,14193,0
2000-01,2000-11-02,8:00p,IND,Indiana Pacers,88,DAL,Dallas Mavericks,94,,11750,0
2000-01,2000-11-02,10:30p,VAN,Vancouver Grizzlies,99,LAC,Los Angeles Clippers,91,,15546,0
2000-01,2000-11-02,7:30p,ATL,Atlanta Hawks,69,NYK,New York Knicks,94,,19763,0
2000-01,2000-11-02,9:00p,GSW,Golden State Warriors,97,DEN,Denver Nuggets,101,,15790,0
2000-01,2000-11-02,9:00p,POR,Portland Trail Blazers,82,PHX,Phoenix Suns,108,,18436,0
2000-01,2000-11-03,7:30p,TOR,Toronto Raptors,91,BOS,Boston Celtics,93,,17464,0
2000-01,2000-11-03,7:30p,MIA,Miami Heat,79,CHA,Charlotte Hornets,83,,14016,0
2000-01,2000-11-03,8:30p,NJN,New Jersey Nets,92,CHI,Chicago Bulls,82,,21908,0
2000-01,2000-11-03,8:00p,SAC,Sacramento Kings,100,DET,Detroit Pistons,93,,22076,0
2000-01,2000-11-03,7:30p,PHI,Philadelphia 76ers,87,ORL,Orlando Magic,80,,14233,0
2000-01,2000-11-03,7:00p,NYK,New York Knicks,80,WAS,Washington Wizards,76,,20674,0
2000-01,2000-11-04,8:30p,DET,Detroit Pistons,88,MIL,Milwaukee Bucks,97,,18717,0
2000-01,2000-11-04,8:00p,CHA,Charlotte Hornets,98,NJN,New Jersey Nets,87,,11522,0
2000-01,2000-11-04,7:00p,CHI,Chicago Bulls,81,IND,Indiana Pacers,94,,18345,0
2000-01,2000-11-04,7:30p,BOS,Boston Celtics,89,CLE,Cleveland Cavaliers,91,,18392,0
2000-01,2000-11-04,7:00p,WAS,Washington Wizards,96,TOR,Toronto Raptors,103,,18726,0
2000-01,2000-11-04,8:00p,SAC,Sacramento Kings,91,MIN,Minnesota Timberwolves,99,,19006,0
2000-01,2000-11-04,10:30p,SAS,San Antonio Spurs,117,GSW,Golden State Warriors,105,,16121,0
2000-01,2000-11-04,8:00p,UTA,Utah Jazz,112,DAL,Dallas Mavericks,106,,16500,0
2000-01,2000-11-04,10:30p,HOU,Houston Rockets,74,LAC,Los Angeles Clippers,77,,10797,0
2000-01,2000-11-04,7:30p,PHI,Philadelphia 76ers,84,MIA,Miami Heat,82,,16029,0
2000-01,2000-11-04,7:30p,ORL,Orlando Magic,107,ATL,Atlanta Hawks,104,,13833,0
2000-01,2000-11-04,10:00p,POR,Portland Trail Blazers,97,SEA,Seattle SuperSonics,90,,17072,0
2000-01,2000-11-04,3:30p,LAL,Los Angeles Lakers,98,VAN,Vancouver Grizzlies,89,,18183,0
2000-01,2000-11-04,9:00p,PHX,Phoenix Suns,102,DEN,Denver Nuggets,99,,13312,0
2000-01,2000-11-05,9:30p,LAC,Los Angeles Clippers,103,LAL,Los Angeles Lakers,108,,18997,0
2000-01,2000-11-05,8:00p,HOU,Houston Rockets,99,PHX,Phoenix Suns,104,,16735,0
2000-01,2000-11-06,7:30p,SEA,Seattle SuperSonics,99,ORL,Orlando Magic,110,,12460,0
2000-01,2000-11-06,10:30p,POR,Portland Trail Blazers,75,SAC,Sacramento Kings,79,,17317,0
2000-01,2000-11-06,9:00p,MIN,Minnesota Timberwolves,92,UTA,Utah Jazz,98,,19911,0
2000-01,2000-11-06,10:00p,ATL,Atlanta Hawks,87,VAN,Vancouver Grizzlies,97,,11639,0
2000-01,2000-11-06,9:00p,DAL,Dallas Mavericks,108,DEN,Denver Nuggets,96,,11190,0
2000-01,2000-11-07,8:00p,NYK,New York Knicks,103,MIL,Milwaukee Bucks,89,,14246,0
2000-01,2000-11-07,7:00p,BOS,Boston Celtics,75,TOR,Toronto Raptors,105,,17379,0
2000-01,2000-11-07,8:30p,WAS,Washington Wizards,88,CHI,Chicago Bulls,83,,21312,0
2000-01,2000-11-07,8:30p,LAL,Los Angeles Lakers,74,HOU,Houston Rockets,84,,14473,0
2000-01,2000-11-07,10:00p,ATL,Atlanta Hawks,88,POR,Portland Trail Blazers,97,,19980,0
2000-01,2000-11-07,9:00p,SAS,San Antonio Spurs,81,PHX,Phoenix Suns,100,,16683,0
2000-01,2000-11-08,7:00p,DET,Detroit Pistons,94,PHI,Philadelphia 76ers,103,,15986,0
2000-01,2000-11-08,7:00p,MIL,Milwaukee Bucks,97,IND,Indiana Pacers,108,,17684,0
2000-01,2000-11-08,8:00p,LAL,Los Angeles Lakers,81,SAS,San Antonio Spurs,91,,26065,0
2000-01,2000-11-08,8:00p,VAN,Vancouver Grizzlies,101,DAL,Dallas Mavericks,74,,11500,0
2000-01,2000-11-08,10:30p,UTA,Utah Jazz,93,LAC,Los Angeles Clippers,87,OT,10292,0
2000-01,2000-11-08,7:30p,CHA,Charlotte Hornets,96,ORL,Orlando Magic,90,,12617,0
2000-01,2000-11-08,7:30p,SEA,Seattle SuperSonics,81,MIA,Miami Heat,87,,15083,0
2000-01,2000-11-08,10:30p,GSW,Golden State Warriors,84,SAC,Sacramento Kings,115,,17317,0
2000-01,2000-11-08,7:30p,CLE,Cleveland Cavaliers,99,NYK,New York Knicks,97,,19763,0
2000-01,2000-11-08,7:00p,NJN,New Jersey Nets,102,WAS,Washington Wizards,86,,11532,0
2000-01,2000-11-08,9:00p,MIN,Minnesota Timberwolves,107,DEN,Denver Nuggets,109,OT,10549,0
2000-01,2000-11-09,7:30p,DET,Detroit Pistons,108,NJN,New Jersey Nets,94,,10000,0
2000-01,2000-11-09,7:30p,SEA,Seattle SuperSonics,102,CHA,Charlotte Hornets,94,,17054,0
2000-01,2000-11-09,8:30p,ORL,Orlando Magic,90,CHI,Chicago Bulls,95,,21844,0
2000-01,2000-11-09,8:00p,PHI,Philadelphia 76ers,84,MIN,Minnesota Timberwolves,82,,16119,0
2000-01,2000-11-09,8:30p,VAN,Vancouver Grizzlies,78,HOU,Houston Rockets,85,,10906,0
2000-01,2000-11-09,10:00p,DEN,Denver Nuggets,91,POR,Portland Trail Blazers,107,,19996,0
2000-01,2000-11-09,9:00p,ATL,Atlanta Hawks,79,PHX,Phoenix Suns,88,,16792,0
2000-01,2000-11-10,7:30p,NYK,New York Knicks,103,BOS,Boston Celtics,101,OT,18624,0
2000-01,2000-11-10,7:00p,CLE,Cleveland Cavaliers,88,TOR,Toronto Raptors,115,,19800,0
2000-01,2000-11-10,10:30p,SAC,Sacramento Kings,114,GSW,Golden State Warriors,107,OT,17467,0
2000-01,2000-11-10,8:00p,SAS,San Antonio Spurs,77,DAL,Dallas Mavericks,79,,17296,0
2000-01,2000-11-10,10:30p,ATL,Atlanta Hawks,106,LAC,Los Angeles Clippers,115,,10396,0
2000-01,2000-11-10,9:00p,MIA,Miami Heat,87,UTA,Utah Jazz,80,,19093,0
2000-01,2000-11-10,7:00p,IND,Indiana Pacers,86,WAS,Washington Wizards,74,,19955,0
2000-01,2000-11-11,8:30p,MIN,Minnesota Timberwolves,103,MIL,Milwaukee Bucks,92,,18717,0
2000-01,2000-11-11,8:00p,BOS,Boston Celtics,83,PHI,Philadelphia 76ers,85,,19258,0
2000-01,2000-11-11,1:00p,SEA,Seattle SuperSonics,91,NJN,New Jersey Nets,126,,14443,0
2000-01,2000-11-11,7:00p,DET,Detroit Pistons,84,IND,Indiana Pacers,94,,18345,0
2000-01,2000-11-11,7:30p,WAS,Washington Wizards,73,CLE,Cleveland Cavaliers,86,,17336,0
2000-01,2000-11-11,8:30p,TOR,Toronto Raptors,98,CHI,Chicago Bulls,75,,22387,0
2000-01,2000-11-11,8:30p,VAN,Vancouver Grizzlies,78,SAS,San Antonio Spurs,91,,18556,0
2000-01,2000-11-11,7:30p,CHA,Charlotte Hornets,67,NYK,New York Knicks,81,,19763,0
2000-01,2000-11-11,10:00p,HOU,Houston Rockets,88,POR,Portland Trail Blazers,111,,19992,0
2000-01,2000-11-11,9:00p,MIA,Miami Heat,82,PHX,Phoenix Suns,84,,18120,0
2000-01,2000-11-12,6:00p,SEA,Seattle SuperSonics,92,DET,Detroit Pistons,101,,14289,0
2000-01,2000-11-12,9:00p,ORL,Orlando Magic,105,GSW,Golden State Warriors,99,OT,13626,0
2000-01,2000-11-12,9:30p,HOU,Houston Rockets,99,LAL,Los Angeles Lakers,105,,18997,0
2000-01,2000-11-12,9:00p,DAL,Dallas Mavericks,84,SAC,Sacramento Kings,109,,17317,0
2000-01,2000-11-12,9:00p,LAC,Los Angeles Clippers,79,DEN,Denver Nuggets,95,,10842,0
2000-01,2000-11-13,7:30p,POR,Portland Trail Blazers,94,NJN,New Jersey Nets,82,,10704,0
2000-01,2000-11-13,10:30p,DAL,Dallas Mavericks,90,LAC,Los Angeles Clippers,76,,9340,0
2000-01,2000-11-14,7:30p,GSW,Golden State Warriors,86,CLE,Cleveland Cavaliers,96,,13691,0
2000-01,2000-11-14,8:30p,CHI,Chicago Bulls,83,HOU,Houston Rockets,110,,11724,0
2000-01,2000-11-14,8:30p,UTA,Utah Jazz,79,SAS,San Antonio Spurs,86,,18053,0
2000-01,2000-11-14,10:30p,DEN,Denver Nuggets,103,LAL,Los Angeles Lakers,119,,18997,0
2000-01,2000-11-14,7:30p,CHA,Charlotte Hornets,86,MIA,Miami Heat,89,OT,14983,0
2000-01,2000-11-14,7:30p,POR,Portland Trail Blazers,97,ATL,Atlanta Hawks,99,,12610,0
2000-01,2000-11-14,8:00p,ORL,Orlando Magic,82,SAC,Sacramento Kings,96,,17317,0
2000-01,2000-11-14,10:30p,NYK,New York Knicks,75,SEA,Seattle SuperSonics,96,,17072,0
2000-01,2000-11-15,7:00p,WAS,Washington Wizards,109,BOS,Boston Celtics,116,,13915,0
2000-01,2000-11-15,8:00p,ATL,Atlanta Hawks,74,MIL,Milwaukee Bucks,84,,13217,0
2000-01,2000-11-15,7:00p,CLE,Cleveland Cavaliers,98,PHI,Philadelphia 76ers,107,,16328,0
2000-01,2000-11-15,8:00p,MIA,Miami Heat,91,NJN,New Jersey Nets,93,,13504,0
2000-01,2000-11-15,7:30p,IND,Indiana Pacers,92,DET,Detroit Pistons,88,,14350,0
2000-01,2000-11-15,8:00p,GSW,Golden State Warriors,90,MIN,Minnesota Timberwolves,92,,16034,0
2000-01,2000-11-15,10:30p,NYK,New York Knicks,74,LAC,Los Angeles Clippers,78,,12516,0
2000-01,2000-11-15,9:00p,DAL,Dallas Mavericks,78,PHX,Phoenix Suns,99,,16652,0
2000-01,2000-11-16,7:00p,POR,Portland Trail Blazers,86,TOR,Toronto Raptors,80,,19800,0
2000-01,2000-11-16,8:30p,CHA,Charlotte Hornets,80,HOU,Houston Rockets,84,,11028,0
2000-01,2000-11-16,8:00p,LAL,Los Angeles Lakers,112,SAC,Sacramento Kings,110,OT,17317,0
2000-01,2000-11-16,9:00p,ORL,Orlando Magic,84,UTA,Utah Jazz,99,,18851,0
2000-01,2000-11-16,10:00p,LAC,Los Angeles Clippers,76,VAN,Vancouver Grizzlies,72,,12210,0
2000-01,2000-11-16,7:00p,SAS,San Antonio Spurs,99,WAS,Washington Wizards,95,,19832,0
2000-01,2000-11-16,9:00p,CHI,Chicago Bulls,85,DEN,Denver Nuggets,89,,10150,0
2000-01,2000-11-17,7:30p,ATL,Atlanta Hawks,99,BOS,Boston Celtics,106,,13815,0
2000-01,2000-11-17,8:30p,CLE,Cleveland Cavaliers,76,MIL,Milwaukee Bucks,89,,13874,0
2000-01,2000-11-17,7:00p,MIA,Miami Heat,73,PHI,Philadelphia 76ers,94,,20720,0
2000-01,2000-11-17,7:00p,GSW,Golden State Warriors,92,IND,Indiana Pacers,90,,17101,0
2000-01,2000-11-17,7:30p,DET,Detroit Pistons,96,CHA,Charlotte Hornets,89,,14771,0
2000-01,2000-11-17,8:00p,SAS,San Antonio Spurs,94,MIN,Minnesota Timberwolves,99,OT,17288,0
2000-01,2000-11-17,10:00p,DAL,Dallas Mavericks,99,SEA,Seattle SuperSonics,95,,12285,0
2000-01,2000-11-17,9:00p,NYK,New York Knicks,90,PHX,Phoenix Suns,85,,18738,0
2000-01,2000-11-18,8:00p,IND,Indiana Pacers,92,NJN,New Jersey Nets,97,,12465,0
2000-01,2000-11-18,7:00p,MIL,Milwaukee Bucks,102,TOR,Toronto Raptors,111,,19800,0
2000-01,2000-11-18,8:30p,PHX,Phoenix Suns,89,HOU,Houston Rockets,94,,12694,0
2000-01,2000-11-18,10:30p,SEA,Seattle SuperSonics,86,LAC,Los Angeles Clippers,83,,12271,0
2000-01,2000-11-18,7:30p,POR,Portland Trail Blazers,80,MIA,Miami Heat,86,,16500,0
2000-01,2000-11-18,7:30p,MIN,Minnesota Timberwolves,94,ATL,Atlanta Hawks,84,,13036,0
2000-01,2000-11-18,9:00p,CHI,Chicago Bulls,64,UTA,Utah Jazz,109,,17839,0
2000-01,2000-11-18,10:00p,DAL,Dallas Mavericks,91,VAN,Vancouver Grizzlies,88,,13301,0
2000-01,2000-11-18,7:00p,BOS,Boston Celtics,89,WAS,Washington Wizards,109,,19290,0
2000-01,2000-11-18,9:00p,LAL,Los Angeles Lakers,86,DEN,Denver Nuggets,87,,19513,0
2000-01,2000-11-19,7:00p,CHA,Charlotte Hornets,105,DET,Detroit Pistons,96,,13088,0
2000-01,2000-11-19,9:30p,CHI,Chicago Bulls,96,LAL,Los Angeles Lakers,104,,18997,0
2000-01,2000-11-19,6:00p,POR,Portland Trail Blazers,110,ORL,Orlando Magic,102,OT,14524,0
2000-01,2000-11-19,8:00p,GSW,Golden State Warriors,71,NYK,New York Knicks,88,,19763,0
2000-01,2000-11-20,7:00p,PHI,Philadelphia 76ers,114,BOS,Boston Celtics,90,,15209,0
2000-01,2000-11-20,7:00p,CHA,Charlotte Hornets,100,TOR,Toronto Raptors,64,,17767,0
2000-01,2000-11-20,10:30p,NJN,New Jersey Nets,86,LAC,Los Angeles Clippers,85,,9803,0
2000-01,2000-11-20,9:00p,DAL,Dallas Mavericks,107,UTA,Utah Jazz,98,,18869,0
2000-01,2000-11-20,10:00p,DEN,Denver Nuggets,95,VAN,Vancouver Grizzlies,92,,11809,0
2000-01,2000-11-21,7:00p,HOU,Houston Rockets,101,IND,Indiana Pacers,89,,16611,0
2000-01,2000-11-21,7:30p,DET,Detroit Pistons,98,CLE,Cleveland Cavaliers,117,,12683,0
2000-01,2000-11-21,10:30p,CHI,Chicago Bulls,77,GSW,Golden State Warriors,89,,11263,0
2000-01,2000-11-21,8:00p,SEA,Seattle SuperSonics,116,DAL,Dallas Mavericks,110,,15100,0
2000-01,2000-11-21,8:00p,NYK,New York Knicks,85,ORL,Orlando Magic,84,,14673,0
2000-01,2000-11-21,7:00p,POR,Portland Trail Blazers,104,WAS,Washington Wizards,94,,14113,0
2000-01,2000-11-22,7:00p,HOU,Houston Rockets,81,BOS,Boston Celtics,96,,13003,0
2000-01,2000-11-22,8:00p,POR,Portland Trail Blazers,93,MIL,Milwaukee Bucks,84,,15008,0
2000-01,2000-11-22,7:30p,PHI,Philadelphia 76ers,73,CHA,Charlotte Hornets,88,,15306,0
2000-01,2000-11-22,8:00p,VAN,Vancouver Grizzlies,100,MIN,Minnesota Timberwolves,101,,16783,0
2000-01,2000-11-22,8:30p,SEA,Seattle SuperSonics,85,SAS,San Antonio Spurs,112,,22828,0
2000-01,2000-11-22,10:30p,GSW,Golden State Warriors,91,LAL,Los Angeles Lakers,111,,18208,0
2000-01,2000-11-22,7:30p,CLE,Cleveland Cavaliers,86,MIA,Miami Heat,67,,14755,0
2000-01,2000-11-22,7:30p,NYK,New York Knicks,74,ATL,Atlanta Hawks,78,,12007,0
2000-01,2000-11-22,10:30p,CHI,Chicago Bulls,71,SAC,Sacramento Kings,100,,17317,0
2000-01,2000-11-22,9:00p,DEN,Denver Nuggets,78,UTA,Utah Jazz,116,,18664,0
2000-01,2000-11-22,9:00p,NJN,New Jersey Nets,85,PHX,Phoenix Suns,97,,17239,0
2000-01,2000-11-23,8:00p,TOR,Toronto Raptors,111,IND,Indiana Pacers,91,,18345,0
2000-01,2000-11-24,7:30p,ORL,Orlando Magic,98,BOS,Boston Celtics,103,OT,16696,0
2000-01,2000-11-24,8:30p,CHA,Charlotte Hornets,106,MIL,Milwaukee Bucks,90,,15102,0
2000-01,2000-11-24,8:00p,WAS,Washington Wizards,87,IND,Indiana Pacers,99,,18345,0
2000-01,2000-11-24,7:30p,MIA,Miami Heat,80,CLE,Cleveland Cavaliers,85,,20562,0
2000-01,2000-11-24,8:00p,VAN,Vancouver Grizzlies,96,DET,Detroit Pistons,118,,14709,0
2000-01,2000-11-24,10:30p,MIN,Minnesota Timberwolves,108,LAL,Los Angeles Lakers,115,,18997,0
2000-01,2000-11-24,7:30p,PHI,Philadelphia 76ers,76,ATL,Atlanta Hawks,67,,17601,0
2000-01,2000-11-24,10:00p,NJN,New Jersey Nets,85,UTA,Utah Jazz,97,,18915,0
2000-01,2000-11-24,10:00p,LAC,Los Angeles Clippers,81,SEA,Seattle SuperSonics,98,,13282,0
2000-01,2000-11-24,9:00p,SAS,San Antonio Spurs,92,DEN,Denver Nuggets,102,,13300,0
2000-01,2000-11-24,9:00p,GSW,Golden State Warriors,74,PHX,Phoenix Suns,80,,18684,0
2000-01,2000-11-25,7:30p,CLE,Cleveland Cavaliers,98,CHA,Charlotte Hornets,109,,13791,0
2000-01,2000-11-25,10:30p,MIN,Minnesota Timberwolves,93,GSW,Golden State Warriors,114,,14268,0
2000-01,2000-11-25,8:30p,PHI,Philadelphia 76ers,76,SAS,San Antonio Spurs,96,,33046,0
2000-01,2000-11-25,8:00p,DEN,Denver Nuggets,84,DAL,Dallas Mavericks,108,,16234,0
2000-01,2000-11-25,10:30p,PHX,Phoenix Suns,95,LAC,Los Angeles Clippers,89,OT,13510,0
2000-01,2000-11-25,7:30p,ATL,Atlanta Hawks,92,ORL,Orlando Magic,114,,13043,0
2000-01,2000-11-25,7:30p,HOU,Houston Rockets,91,MIA,Miami Heat,80,,15721,0
2000-01,2000-11-25,10:30p,SEA,Seattle SuperSonics,101,SAC,Sacramento Kings,125,,17317,0
2000-01,2000-11-25,1:00p,TOR,Toronto Raptors,79,NYK,New York Knicks,75,,19763,0
2000-01,2000-11-25,10:00p,NJN,New Jersey Nets,84,POR,Portland Trail Blazers,86,,20478,0
2000-01,2000-11-25,8:00p,MIL,Milwaukee Bucks,100,WAS,Washington Wizards,107,,13157,0
2000-01,2000-11-26,12:30p,VAN,Vancouver Grizzlies,98,BOS,Boston Celtics,87,,11551,0
2000-01,2000-11-26,3:00p,CHI,Chicago Bulls,89,TOR,Toronto Raptors,101,,19800,0
2000-01,2000-11-26,7:00p,UTA,Utah Jazz,94,DET,Detroit Pistons,79,,12943,0
2000-01,2000-11-27,10:30p,LAL,Los Angeles Lakers,98,LAC,Los Angeles Clippers,83,,20039,0
2000-01,2000-11-27,7:30p,MIL,Milwaukee Bucks,104,ORL,Orlando Magic,95,,12841,0
2000-01,2000-11-27,7:30p,VAN,Vancouver Grizzlies,72,NYK,New York Knicks,97,,19763,0
2000-01,2000-11-28,7:30p,UTA,Utah Jazz,98,NJN,New Jersey Nets,92,,12204,0
2000-01,2000-11-28,7:30p,BOS,Boston Celtics,87,CLE,Cleveland Cavaliers,72,,14879,0
2000-01,2000-11-28,8:30p,MIN,Minnesota Timberwolves,96,CHI,Chicago Bulls,76,,22204,0
2000-01,2000-11-28,8:30p,SAC,Sacramento Kings,88,HOU,Houston Rockets,81,,11813,0
2000-01,2000-11-28,10:30p,IND,Indiana Pacers,107,LAL,Los Angeles Lakers,124,,18997,0
2000-01,2000-11-28,8:00p,TOR,Toronto Raptors,93,DAL,Dallas Mavericks,107,,16016,0
2000-01,2000-11-28,7:30p,MIL,Milwaukee Bucks,102,MIA,Miami Heat,101,,14863,0
2000-01,2000-11-28,10:00p,SEA,Seattle SuperSonics,105,POR,Portland Trail Blazers,93,,19980,0
2000-01,2000-11-28,7:00p,ATL,Atlanta Hawks,102,WAS,Washington Wizards,75,,11583,0
2000-01,2000-11-29,7:00p,WAS,Washington Wizards,87,PHI,Philadelphia 76ers,93,,16263,0
2000-01,2000-11-29,7:30p,TOR,Toronto Raptors,79,CHA,Charlotte Hornets,103,,12255,0
2000-01,2000-11-29,7:30p,NJN,New Jersey Nets,76,DET,Detroit Pistons,97,,11497,0
2000-01,2000-11-29,8:00p,DEN,Denver Nuggets,107,MIN,Minnesota Timberwolves,100,,15227,0
2000-01,2000-11-29,8:30p,SAC,Sacramento Kings,79,SAS,San Antonio Spurs,82,,17341,0
2000-01,2000-11-29,10:30p,GSW,Golden State Warriors,83,LAC,Los Angeles Clippers,106,,10130,0
2000-01,2000-11-29,7:30p,UTA,Utah Jazz,88,ORL,Orlando Magic,86,,13645,0
2000-01,2000-11-29,8:00p,MIA,Miami Heat,84,NYK,New York Knicks,81,,19763,0
2000-01,2000-11-29,10:00p,PHX,Phoenix Suns,106,VAN,Vancouver Grizzlies,109,2OT,12314,0
2000-01,2000-11-30,8:00p,BOS,Boston Celtics,97,MIL,Milwaukee Bucks,108,,13247,0
2000-01,2000-11-30,10:30p,IND,Indiana Pacers,95,GSW,Golden State Warriors,99,,13149,0
2000-01,2000-11-30,7:30p,CHI,Chicago Bulls,91,ATL,Atlanta Hawks,82,,10956,0
2000-01,2000-11-30,10:00p,LAL,Los Angeles Lakers,88,SEA,Seattle SuperSonics,121,,17072,0
2000-01,2000-11-30,10:00p,DAL,Dallas Mavericks,84,POR,Portland Trail Blazers,95,,19980,0
2000-01,2000-11-30,9:00p,HOU,Houston Rockets,109,DEN,Denver Nuggets,105,OT,13684,0
2000-01,2000-12-01,7:30p,MIN,Minnesota Timberwolves,102,BOS,Boston Celtics,98,,14630,0
2000-01,2000-12-01,7:00p,CHA,Charlotte Hornets,74,PHI,Philadelphia 76ers,95,,18377,0
2000-01,2000-12-01,8:00p,CLE,Cleveland Cavaliers,93,DET,Detroit Pistons,103,,15323,0
2000-01,2000-12-01,8:30p,NYK,New York Knicks,91,CHI,Chicago Bulls,86,,22099,0
2000-01,2000-12-01,7:00p,LAC,Los Angeles Clippers,95,TOR,Toronto Raptors,104,OT,18470,0
2000-01,2000-12-01,7:30p,UTA,Utah Jazz,94,MIA,Miami Heat,92,,15632,0
2000-01,2000-12-01,7:30p,NJN,New Jersey Nets,80,ORL,Orlando Magic,83,,13827,0
2000-01,2000-12-01,10:30p,SAS,San Antonio Spurs,100,LAL,Los Angeles Lakers,109,,18997,0
2000-01,2000-12-01,10:00p,IND,Indiana Pacers,86,VAN,Vancouver Grizzlies,76,OT,11758,0
2000-01,2000-12-01,10:30p,PHX,Phoenix Suns,98,SAC,Sacramento Kings,105,,17317,0
2000-01,2000-12-02,7:30p,MIN,Minnesota Timberwolves,90,NYK,New York Knicks,100,,19763,0
2000-01,2000-12-02,7:30p,ORL,Orlando Magic,95,NJN,New Jersey Nets,74,,14897,0
2000-01,2000-12-02,10:30p,DAL,Dallas Mavericks,97,GSW,Golden State Warriors,78,,12187,0
2000-01,2000-12-02,2:30p,MIL,Milwaukee Bucks,94,ATL,Atlanta Hawks,101,,9827,0
2000-01,2000-12-02,8:00p,MIA,Miami Heat,93,WAS,Washington Wizards,90,,20674,0
2000-01,2000-12-02,7:30p,UTA,Utah Jazz,89,CHA,Charlotte Hornets,94,,13360,0
2000-01,2000-12-02,8:30p,POR,Portland Trail Blazers,96,HOU,Houston Rockets,85,,12648,0
2000-01,2000-12-02,7:30p,PHI,Philadelphia 76ers,112,CLE,Cleveland Cavaliers,78,,20562,0
2000-01,2000-12-02,9:00p,SEA,Seattle SuperSonics,92,DEN,Denver Nuggets,103,,14234,0
2000-01,2000-12-03,12:30p,LAC,Los Angeles Clippers,87,BOS,Boston Celtics,96,,13583,0
2000-01,2000-12-03,7:00p,WAS,Washington Wizards,87,DET,Detroit Pistons,93,,12137,0
2000-01,2000-12-03,9:30p,DAL,Dallas Mavericks,97,LAL,Los Angeles Lakers,99,,18997,0
2000-01,2000-12-03,3:30p,SAS,San Antonio Spurs,97,VAN,Vancouver Grizzlies,79,,11655,0
2000-01,2000-12-03,8:00p,POR,Portland Trail Blazers,79,PHX,Phoenix Suns,84,,17621,0
2000-01,2000-12-03,3:00p,IND,Indiana Pacers,80,MIL,Milwaukee Bucks,92,,15446,0
2000-01,2000-12-03,9:00p,GSW,Golden State Warriors,102,SEA,Seattle SuperSonics,118,,11669,0
2000-01,2000-12-04,7:30p,LAC,Los Angeles Clippers,78,NYK,New York Knicks,106,,19763,0
2000-01,2000-12-04,9:00p,PHI,Philadelphia 76ers,98,DEN,Denver Nuggets,105,,15129,0
2000-01,2000-12-05,7:30p,MIA,Miami Heat,100,ATL,Atlanta Hawks,92,,10691,0
2000-01,2000-12-05,8:00p,CHI,Chicago Bulls,90,MIN,Minnesota Timberwolves,100,,16170,0
2000-01,2000-12-05,7:00p,NJN,New Jersey Nets,64,IND,Indiana Pacers,88,,16731,0
2000-01,2000-12-05,7:30p,BOS,Boston Celtics,98,ORL,Orlando Magic,101,,13324,0
2000-01,2000-12-05,10:30p,PHI,Philadelphia 76ers,85,LAL,Los Angeles Lakers,96,,18997,0
2000-01,2000-12-05,10:00p,DET,Detroit Pistons,83,VAN,Vancouver Grizzlies,91,,12578,0
2000-01,2000-12-05,8:00p,SAS,San Antonio Spurs,75,SAC,Sacramento Kings,81,,17317,0
